year,month,day,hour,minute,second,count
2023,7,16,22,0,25,1
2023,7,16,22,0,38,5
2023,7,16,22,0,40,2
2023,7,16,22,0,42,2
2023,7,16,22,0,46,1
2023,7,16,22,0,54,1
2023,7,16,22,1,20,1
2023,7,16,22,1,26,1
2023,7,16,22,1,28,1
2023,7,16,22,1,37,1
2023,7,16,22,1,38,7
2023,7,16,22,1,42,3
2023,7,16,22,2,13,1
2023,7,16,22,2,27,2
2023,7,16,22,2,37,2
2023,7,16,22,2,38,2
2023,7,16,22,2,42,3
2023,7,16,22,3,0,1
2023,7,16,22,3,17,1
2023,7,16,22,3,18,1
2023,7,16,22,3,38,6
2023,7,16,22,3,42,2
2023,7,16,22,3,43,2
2023,7,16,22,3,48,1
2023,7,16,22,4,17,1
2023,7,16,22,4,19,1
2023,7,16,22,4,26,1
2023,7,16,22,4,38,6
2023,7,16,22,4,39,1
2023,7,16,22,4,42,1
2023,7,16,22,4,54,1
2023,7,16,22,5,1,1
2023,7,16,22,5,11,1
2023,7,16,22,5,13,1
2023,7,16,22,5,34,1
2023,7,16,22,5,39,5
2023,7,16,22,5,42,1
2023,7,16,22,5,56,1
2023,7,16,22,5,57,1
2023,7,16,22,6,0,1
2023,7,16,22,6,26,1
2023,7,16,22,6,27,1
2023,7,16,22,6,39,4
2023,7,16,22,6,42,2
2023,7,16,22,6,43,1
2023,7,16,22,7,26,1
2023,7,16,22,7,37,1
2023,7,16,22,7,39,2
2023,7,16,22,7,42,1
2023,7,16,22,8,37,1
2023,7,16,22,8,39,1
2023,7,16,22,8,42,1
2023,7,16,22,8,44,1
2023,7,16,22,9,18,1
2023,7,16,22,9,21,1
2023,7,16,22,9,37,2
2023,7,16,22,9,39,4
2023,7,16,22,9,42,2
2023,7,16,22,9,59,1
2023,7,16,22,10,23,1
2023,7,16,22,10,34,1
2023,7,16,22,10,37,1
2023,7,16,22,10,39,3
2023,7,16,22,10,42,1
2023,7,16,22,11,0,1
2023,7,16,22,11,17,1
2023,7,16,22,11,37,1
2023,7,16,22,11,39,4
2023,7,16,22,11,42,2
2023,7,16,22,12,5,2
2023,7,16,22,12,6,1
2023,7,16,22,12,26,1
2023,7,16,22,12,39,4
2023,7,16,22,12,42,2
2023,7,16,22,12,46,1
2023,7,16,22,12,50,1
2023,7,16,22,13,10,1
2023,7,16,22,13,27,1
2023,7,16,22,13,39,2
2023,7,16,22,13,42,2
2023,7,16,22,13,57,1
2023,7,16,22,14,17,1
2023,7,16,22,14,39,4
2023,7,16,22,14,40,1
2023,7,16,22,14,42,1
2023,7,16,22,14,47,1
2023,7,16,22,15,35,1
2023,7,16,22,15,39,2
2023,7,16,22,15,40,1
2023,7,16,22,15,42,3
2023,7,16,22,15,46,1
2023,7,16,22,15,53,1
2023,7,16,22,16,10,1
2023,7,16,22,16,11,2
2023,7,16,22,16,20,1
2023,7,16,22,16,26,1
2023,7,16,22,16,37,1
2023,7,16,22,16,39,7
2023,7,16,22,16,41,1
2023,7,16,22,16,42,3
2023,7,16,22,16,48,1
2023,7,16,22,16,59,1
2023,7,16,22,17,26,1
2023,7,16,22,17,39,4
2023,7,16,22,17,42,2
2023,7,16,22,17,52,1
2023,7,16,22,18,24,1
2023,7,16,22,18,39,3
2023,7,16,22,18,42,2
2023,7,16,22,18,46,1
2023,7,16,22,19,17,1
2023,7,16,22,19,18,1
2023,7,16,22,19,27,1
2023,7,16,22,19,38,1
2023,7,16,22,19,39,3
2023,7,16,22,19,42,1
2023,7,16,22,19,50,1
2023,7,16,22,20,3,1
2023,7,16,22,20,11,2
2023,7,16,22,20,14,1
2023,7,16,22,20,27,1
2023,7,16,22,20,35,1
2023,7,16,22,20,39,1
2023,7,16,22,20,47,1
2023,7,16,22,20,50,1
2023,7,16,22,20,57,1
2023,7,16,22,20,58,1
2023,7,16,22,21,11,1
2023,7,16,22,21,17,1
2023,7,16,22,21,22,1
2023,7,16,22,21,31,1
2023,7,16,22,21,33,1
2023,7,16,22,21,37,1
2023,7,16,22,21,39,2
2023,7,16,22,21,40,6
2023,7,16,22,21,42,2
2023,7,16,22,21,57,1
2023,7,16,22,22,0,1
2023,7,16,22,22,8,1
2023,7,16,22,22,11,2
2023,7,16,22,22,35,1
2023,7,16,22,22,40,6
2023,7,16,22,22,46,1
2023,7,16,22,22,51,1
2023,7,16,22,23,20,1
2023,7,16,22,23,28,1
2023,7,16,22,23,29,1
2023,7,16,22,23,37,1
2023,7,16,22,23,40,3
2023,7,16,22,23,42,3
2023,7,16,22,24,3,1
2023,7,16,22,24,11,2
2023,7,16,22,24,20,1
2023,7,16,22,24,25,1
2023,7,16,22,24,26,1
2023,7,16,22,24,37,1
2023,7,16,22,24,40,5
2023,7,16,22,24,42,1
2023,7,16,22,25,10,1
2023,7,16,22,25,20,1
2023,7,16,22,25,29,2
2023,7,16,22,25,40,4
2023,7,16,22,25,42,2
2023,7,16,22,26,4,1
2023,7,16,22,26,5,2
2023,7,16,22,26,11,2
2023,7,16,22,26,40,5
2023,7,16,22,26,42,1
2023,7,16,22,26,53,1
2023,7,16,22,27,0,2
2023,7,16,22,27,8,1
2023,7,16,22,27,10,1
2023,7,16,22,27,13,1
2023,7,16,22,27,17,1
2023,7,16,22,27,23,1
2023,7,16,22,27,33,1
2023,7,16,22,27,40,5
2023,7,16,22,27,42,2
2023,7,16,22,27,43,2
2023,7,16,22,27,44,1
2023,7,16,22,28,2,1
2023,7,16,22,28,27,1
2023,7,16,22,28,34,1
2023,7,16,22,28,40,3
2023,7,16,22,28,43,1
2023,7,16,22,28,50,1
2023,7,16,22,28,54,1
2023,7,16,22,29,1,1
2023,7,16,22,29,2,1
2023,7,16,22,29,27,1
2023,7,16,22,29,35,1
2023,7,16,22,29,40,4
2023,7,16,22,29,42,1
2023,7,16,22,29,43,3
2023,7,16,22,29,45,1
2023,7,16,22,29,46,1
2023,7,16,22,29,57,1
2023,7,16,22,30,7,1
2023,7,16,22,30,27,1
2023,7,16,22,30,37,1
2023,7,16,22,30,40,9
2023,7,16,22,30,43,1
2023,7,16,22,30,55,1
2023,7,16,22,31,20,2
2023,7,16,22,31,26,1
2023,7,16,22,31,35,2
2023,7,16,22,31,40,4
2023,7,16,22,31,42,1
2023,7,16,22,31,43,2
2023,7,16,22,31,47,1
2023,7,16,22,31,57,1
2023,7,16,22,32,20,1
2023,7,16,22,32,21,1
2023,7,16,22,32,27,1
2023,7,16,22,32,37,1
2023,7,16,22,32,40,5
2023,7,16,22,32,41,2
2023,7,16,22,32,42,1
2023,7,16,22,32,43,1
2023,7,16,22,32,56,1
2023,7,16,22,33,19,1
2023,7,16,22,33,25,1
2023,7,16,22,33,39,1
2023,7,16,22,33,41,2
2023,7,16,22,33,43,3
2023,7,16,22,33,58,1
2023,7,16,22,34,9,1
2023,7,16,22,34,10,1
2023,7,16,22,34,11,1
2023,7,16,22,34,26,1
2023,7,16,22,34,41,4
2023,7,16,22,34,42,1
2023,7,16,22,34,43,2
2023,7,16,22,34,53,1
2023,7,16,22,34,57,1
2023,7,16,22,35,4,1
2023,7,16,22,35,5,1
2023,7,16,22,35,10,1
2023,7,16,22,35,17,1
