year,month,day,hour,bucket,maximum
2023,7,16,22,1,14.0
2023,7,16,22,2,24.0
2023,7,16,22,3,16.0
2023,7,16,22,4,12.0
2023,7,16,22,5,16.0
2023,7,16,22,6,15.0
2023,7,16,22,7,15.0
2023,7,16,22,8,23.0
2023,7,16,22,9,19.0
2023,7,16,22,10,18.0
2023,7,16,22,11,13.0
2023,7,16,22,12,13.0
2023,7,16,23,1,3.0
2023,7,16,23,2,7.0
2023,7,16,23,3,9.0
2023,7,16,23,4,10.0
2023,7,16,23,5,12.0
2023,7,16,23,6,6.0
2023,7,16,23,7,9.0
2023,7,16,23,8,9.0
2023,7,16,23,9,4.0
2023,7,16,23,10,7.0
2023,7,16,23,11,9.0
2023,7,16,23,12,7.0
2023,7,17,0,1,11.0
2023,7,17,0,2,13.0
2023,7,17,0,3,9.0
2023,7,17,0,4,14.0
2023,7,17,0,5,7.0
2023,7,17,0,6,10.0
2023,7,17,0,7,6.0
2023,7,17,0,8,12.0
2023,7,17,0,9,14.0
2023,7,17,0,10,8.0
2023,7,17,0,11,4.0
2023,7,17,0,12,9.0
2023,7,17,1,1,10.0
2023,7,17,1,2,13.0
2023,7,17,1,3,9.0
2023,7,17,1,4,9.0
2023,7,17,1,5,9.0
2023,7,17,1,6,9.0
2023,7,17,1,7,9.0
2023,7,17,1,8,9.0
2023,7,17,1,9,9.0
2023,7,17,1,10,9.0
2023,7,17,1,11,9.0
2023,7,17,1,12,10.0
2023,7,17,2,1,10.0
2023,7,17,2,2,13.0
2023,7,17,2,3,9.0
2023,7,17,2,4,6.0
2023,7,17,2,5,6.0
2023,7,17,2,6,11.0
2023,7,17,2,7,10.0
2023,7,17,2,8,10.0
2023,7,17,2,9,16.0
2023,7,17,2,10,11.0
2023,7,17,2,11,13.0
2023,7,17,2,12,10.0
2023,7,17,3,1,11.0
2023,7,17,3,2,12.0
2023,7,17,3,3,8.0
2023,7,17,3,4,12.0
2023,7,17,3,5,16.0
2023,7,17,3,6,16.0
2023,7,17,3,7,22.0
2023,7,17,3,8,22.0
2023,7,17,3,9,22.0
2023,7,17,3,10,20.0
2023,7,17,3,11,20.0
2023,7,17,3,12,16.0
2023,7,17,4,1,14.0
2023,7,17,4,2,16.0
2023,7,17,4,3,18.0
2023,7,17,4,4,15.0
2023,7,17,4,5,22.0
2023,7,17,4,6,22.0
2023,7,17,4,7,19.0
2023,7,17,4,8,19.0
2023,7,17,4,9,23.0
2023,7,17,4,10,23.0
2023,7,17,4,11,17.0
2023,7,17,4,12,15.0
2023,7,17,5,1,22.0
2023,7,17,5,2,24.0
2023,7,17,5,3,23.0
2023,7,17,5,4,20.0
2023,7,17,5,5,23.0
2023,7,17,5,6,17.0
2023,7,17,5,7,23.0
2023,7,17,5,8,23.0
2023,7,17,5,9,23.0
